review_text,rating,date
osm,5,2026-03-15 12:57:31
"Excellent Driver, Reached before ETA🔥💪❤️",5,2026-03-15 12:57:16
perfect ride,5,2026-03-15 12:56:17
good,5,2026-03-15 12:56:13
great driver .felt safe was safe...,5,2026-03-15 12:54:25
best appp owo,5,2026-03-15 12:53:05
fantastic!!,5,2026-03-15 12:51:34
as a Driver they don't even pay minimum wage let alone cover vehicle operating expenses.. it's a race to the bottom with this company,1,2026-03-15 12:48:40
very good 😊,5,2026-03-15 12:47:31
good,4,2026-03-15 12:45:18
best,5,2026-03-15 12:39:11
good service,5,2026-03-15 12:37:46
"Great experience , very nice gentleman",4,2026-03-15 12:24:54
great,5,2026-03-15 12:23:22
Neat and clean vehicle. Good driver,5,2026-03-15 12:20:11
Best Service,5,2026-03-15 12:19:02
prompt response and friendly driver.,5,2026-03-15 12:12:48
vry good app for transport but very expensive,5,2026-03-15 12:07:10
very good apps much should use everybody..........,5,2026-03-15 12:05:02
very good service,5,2026-03-15 12:04:08
good service,5,2026-03-15 12:03:30
very good app but anytime change price,4,2026-03-15 12:01:04
The best service provider for City transport...and affordable rates. ..,5,2026-03-15 11:59:39
Reliable and respectful...,5,2026-03-15 11:51:48
Smidigt,5,2026-03-15 11:50:12
got me home drunk.,5,2026-03-15 11:49:20
"Student acc er jonno price r ekto kom hoile valo hoito ,, emni thik thak ,, valo ase,, service ride booking speed fast",3,2026-03-15 11:47:52
fantastic service much better than convetional services.,5,2026-03-15 11:43:39
friendly and musical taste was spectacular,5,2026-03-15 11:40:47
good,3,2026-03-15 11:36:03
